director,Total_Peliculas,Duracion_Promedio,Duracion_Minima,Duracion_Maxima,Desviacion_Estandar,Varianza
Leslie Small,5,81.0,60,96,15.588457268119896,243.0
Leslye Headland,1,101.0,101,101,,
Lester Hsi,1,88.0,88,88,,
Leticia Jorge Romero,1,88.0,88,88,,
Letizia Lamartire,1,92.0,92,92,,
Lev L. Spiro,1,90.0,90,90,,
Levan Gabriadze,1,83.0,83,83,,
Levan Tsikurishvili,1,97.0,97,97,,
Lewis Milestone,1,127.0,127,127,,
Li Jun,1,108.0,108,108,,
Li Pei-Chuan,1,92.0,92,92,,
Li Weiran,1,120.0,120,120,,
Liam Lynch,2,82.5,71,94,16.263455967290593,264.5
Liam O'Donnell,2,110.0,107,113,4.242640687119285,18.0
Liao Shih-han,1,105.0,105,105,,
Lijo Jose Pellissery,1,128.0,128,128,,
Lilibet Foster,1,110.0,110,110,,
Lin Oeding,1,94.0,94,94,,
Linas Phillips,1,92.0,92,92,,
Linda Korsten,1,95.0,95,95,,
Linda Mendoza,3,62.666666666666664,56,66,5.773502691896258,33.33333333333334
Linda Otto,1,95.0,95,95,,
Lionel C. Martin,1,94.0,94,94,,
Lisa Arnold,1,104.0,104,104,,
Liu Jiang,1,96.0,96,96,,
Liu Jie,1,104.0,104,104,,
Liu Kuang-hui,1,115.0,115,115,,
Liv Ullmann,1,130.0,130,130,,
Liz Garbus,1,95.0,95,95,,
Liz Plonka,1,61.0,61,61,,
Llewellyn M. Smith,1,54.0,54,54,,
Lluís Quílez,1,107.0,107,107,,
Logan Kibens,1,91.0,91,91,,
Lone Scherfig,1,107.0,107,107,,
Lonny Price,1,97.0,97,97,,
Lonzo Nzekwe,1,97.0,97,97,,
Lorene Machado,1,71.0,71,71,,
Lorene Scafaria,1,104.0,104,104,,
Lori Kaye,1,90.0,90,90,,
Louie Psihoyos,1,86.0,86,86,,
Louis J. Horvitz,1,82.0,82,82,,
Louis Leterrier,1,106.0,106,106,,
Louise Alston,1,86.0,86,86,,
Louise Wardle,1,55.0,55,55,,
Lu Yang,1,120.0,120,120,,
Luc Vinciguerra,2,72.5,72,73,0.7071067811865476,0.5
Lucas Figueroa,1,90.0,90,90,,
Lucas Margutti,3,79.66666666666667,71,87,8.08290376865476,65.33333333333331
Lucas Santa Ana,1,97.0,97,97,,
Lucien Bourjeily,1,91.0,91,91,,
Lucien Jean-Baptiste,1,95.0,95,95,,
Lucky Kuswandi,1,111.0,111,111,,
Lucy van Beek,1,95.0,95,95,,
Ludovic Bernard,1,105.0,105,105,,
Ludovico Di Martino,1,100.0,100,100,,
Luis Ara,1,69.0,69,69,,
Luis Estrada,1,143.0,143,143,,
Luis Javier Henaine,1,98.0,98,98,,
Luis Javier M. Henaine,1,79.0,79,79,,
Luis Mandoki,1,103.0,103,103,,
Luis Prieto,1,89.0,89,89,,
Luis Valdez,2,106.0,103,109,4.242640687119285,18.0
Lukas Dhont,1,106.0,106,106,,
Lukasz Kosmicki,1,103.0,103,103,,
Luke Jurevicius,1,29.0,29,29,,
Luke Snellin,1,93.0,93,93,,
Luke Sparke,1,120.0,120,120,,
Luv Ranjan,2,142.5,136,149,9.192388155425117,84.5
Lydia Tenaglia,1,103.0,103,103,,
Lynn Shelton,5,87.8,70,110,17.455658108475888,304.7
Lô Politi,1,97.0,97,97,,
M. Night Shyamalan,2,107.0,104,110,4.242640687119285,18.0
M.J. Bassett,1,94.0,94,94,,
Maciej Dejczer,1,93.0,93,93,,
Macon Blair,1,97.0,97,97,,
Madeleine Parry,1,73.0,73,73,,
Madhumita,1,116.0,116,116,,
Madhur Bhandarkar,5,137.8,126,158,12.930583900195694,167.2000000000001
Madonna,1,119.0,119,119,,
Madonne Ashwin,1,140.0,140,140,,
Mads Matthiesen,1,104.0,104,104,,
Mae Czarina Cruz,6,115.83333333333333,110,124,5.382068994974578,28.96666666666666
Magdy Al-Hawwary,1,101.0,101,101,,
Maha Venkatesh,1,142.0,142,142,,
Mahesh Bhatt,3,154.0,148,165,9.539392014169456,91.0
Mahesh Manjrekar,5,133.0,112,165,21.988633427296026,483.5000000000001
Mahmood Ali-Balogun,1,104.0,104,104,,
Mahmoud Karim,2,93.0,93,93,0.0,0.0
Mahmoud Sabbagh,1,88.0,88,88,,
Mahmoud al Massad,1,83.0,83,83,,
Mahsun Kırmızıgül,2,124.0,112,136,16.97056274847714,288.0
Majid Al Ansari,1,96.0,96,96,,
Majid Majidi,1,120.0,120,120,,
Makarand Mane,2,116.5,103,130,19.091883092036785,364.5
Makoto Shinkai,1,46.0,46,46,,
Malcolm D. Lee,2,101.0,88,114,18.384776310850235,338.0
Malik Bendjelloul,1,86.0,86,86,,
Malik Nejer,1,100.0,100,100,,
Malik Vitthal,1,86.0,86,86,,
Mamat Khalid,1,110.0,110,110,,
Mamoru Hosoda,1,98.0,98,98,,
Mana Yasuda,1,90.0,90,90,,
Manatsanun Phanlerdwongsakul,1,86.0,86,86,,
Manav Shah,1,116.0,116,116,,
Manbhavan Singh,1,118.0,118,118,,
Mandeep Kumar,1,127.0,127,127,,
Mandie Fletcher,1,94.0,94,94,,
Mandla Dube,1,107.0,107,107,,
Mangesh Hadawale,1,133.0,133,133,,
Mangesh Kanthale,1,140.0,140,140,,
Mani Ratnam,4,154.0,135,166,13.4412301024373,180.66666666666666
Manika Sharma,1,117.0,117,117,,
Manish Gupta,1,117.0,117,117,,
Manish Jha,2,126.0,118,134,11.313708498984761,128.0
Manish Saini,1,127.0,127,127,,
Manish Tiwary,1,140.0,140,140,,
Manjari Makijany,1,110.0,110,110,,
Manjeet Maan,1,145.0,145,145,,
Manjeet Singh,1,77.0,77,77,,
Manmohan Desai,1,172.0,172,172,,
Manny Rodriguez,4,78.25,69,88,7.932002689527196,62.916666666666664
Manoj Beedha,1,145.0,145,145,,
Manop Janjarasskul,1,107.0,107,107,,
Mansore,1,114.0,114,114,,
Manu Ashokan,1,119.0,119,119,,
Manuel Martín Cuenca,1,114.0,114,114,,
Mar Targarona,2,107.5,105,110,3.5355339059327378,12.5
Marc Abraham,1,119.0,119,119,,
Marc Forster,3,107.66666666666667,104,113,4.725815626252606,22.333333333333314
Marc Fouchard,1,96.0,96,96,,
Marc Levin,1,103.0,103,103,,
Marc Meyers,1,90.0,90,90,,
Marc Vigil,1,93.0,93,93,,
Marcel Barrena,1,109.0,109,109,,
Marcelo Galvão,2,101.5,100,103,2.1213203435596424,4.5
Marcelo González,1,100.0,100,100,,
Marcelo Piñeyro,1,124.0,124,124,,
Marco Bonfanti,1,107.0,107,107,,
Marco Dutra,1,102.0,102,102,,
Marco Petry,1,100.0,100,100,,
Marco Pontecorvo,1,113.0,113,113,,
Marco Risi,1,96.0,96,96,,
Marco Schnabel,1,87.0,87,87,,
Marcos Bucay,1,51.0,51,51,,
Marcos Carnevale,1,108.0,108,108,,
Marcus Nispel,1,97.0,97,97,,
Marcus Raboy,14,64.14285714285714,51,74,5.6684978726174124,32.13186813186813
Marek Kanievska,1,89.0,89,89,,
Marek Piwowski,1,66.0,66,66,,
Maria Burton,1,89.0,89,89,,
Maria Pulera,1,91.0,91,91,,
Maria Ripoll,3,99.0,91,104,7.0,49.0
Maria Sadowska,1,115.0,115,115,,
Marianna Palka,1,97.0,97,97,,
Mariano Baez,1,60.0,60,60,,
Marie Clements,1,96.0,96,96,,
Marie Madinier,1,81.0,81,81,,
Marina Seresesky,1,94.0,94,94,,
Marina Willer,1,80.0,80,80,,
Mario Briongos,1,83.0,83,83,,
Mario Cambi,1,78.0,78,78,,
Mario Rouleau,1,57.0,57,57,,
Mario Van Peebles,1,130.0,130,130,,
Maris Curran,1,83.0,83,83,,
Marita Grabiak,1,87.0,87,87,,
Marja Lewis Ryan,1,75.0,75,75,,
Mark A.Z. Dippé,1,78.0,78,78,,
Mark Craig,1,96.0,96,96,,
Mark Dindal,1,82.0,82,82,,
Mark Harris,1,79.0,79,79,,
Mark Helfrich,1,99.0,99,99,,
Mark Herman,1,95.0,95,95,,
Mark Landre Gould,1,100.0,100,100,,
Mark McQueen,1,96.0,96,96,,
Mark Murphy,1,95.0,95,95,,
Mark Neveldine,1,91.0,91,91,,
Mark O'Connor,1,92.0,92,92,,
Mark Osborne,1,107.0,107,107,,
Mark Palansky,2,100.5,89,112,16.263455967290593,264.5
Mark Raso,3,100.33333333333333,97,105,4.163331998932267,17.33333333333335
Mark Risley,1,96.0,96,96,,
Mark Ritchie,1,61.0,61,61,,
Mark Rosman,1,95.0,95,95,,
Mark Steven Johnson,2,100.5,91,110,13.435028842544403,180.5
Mark Tonderai,1,101.0,101,101,,
Mark Waters,2,100.5,97,104,4.949747468305833,24.5
Mark Williams,1,110.0,110,110,,
Mark Zwonitzer,1,53.0,53,53,,
Marla M. Ancheta,1,106.0,106,106,,
Maroun Baghdadi,4,100.25,93,108,7.847504911329036,61.583333333333336
Martha Coolidge,1,111.0,111,111,,
Marti Noxon,1,108.0,108,108,,
Martin Brest,1,126.0,126,126,,
Martin Campbell,5,128.0,113,145,14.265342617687104,203.49999999999997
Martin Gorst,1,53.0,53,53,,
Martin Hodara,1,91.0,91,91,,
Martin Lawrence,1,108.0,108,108,,
Martin Prakkat,1,122.0,122,122,,
Martin Rosete,1,84.0,84,84,,
Martin Scorsese,12,144.25,90,209,36.18921235546707,1309.6590909090903
Martin Wood,1,96.0,96,96,,
Martin Zandvliet,1,121.0,121,121,,
Marty Callner,1,69.0,69,69,,
Martín Sastre,1,72.0,72,72,,
Marwan Hamed,1,130.0,130,130,,
Marwan Nabil,1,15.0,15,15,,
Mary Harron,1,102.0,102,102,,
Mary Mazzio,1,98.0,98,98,,
Maryo J. De los Reyes,2,123.5,117,130,9.192388155425117,84.5
María Jose Cuevas,1,92.0,92,92,,
Masaaki Yuasa,1,113.0,113,113,,
Masahiko Murata,4,96.25,85,102,8.015609770940697,64.24999999999999
Massimiliano Camaiti,1,100.0,100,100,,
Massy Tadjedin,1,93.0,93,93,,
Mat Whitecross,1,122.0,122,122,,
Matei Dima,1,96.0,96,96,,
Mateo Gil,1,101.0,101,101,,
Matheus Souza,1,116.0,116,116,,
Mathieu Auvray,1,12.0,12,12,,
Mathieu Kassovitz,1,98.0,98,98,,
Mati Diop,1,106.0,106,106,,
Matias Mariani,1,103.0,103,103,,
Matt Aselton,1,100.0,100,100,,
Matt Askem,5,104.2,79,146,30.34303874037668,920.7
Matt Bell,1,98.0,98,98,,
Matt D'Avella,1,78.0,78,78,,
Matt D'Elia,1,55.0,55,55,,
Matt Eskandari,1,98.0,98,98,,
Matt Kay,1,20.0,20,20,,
Matt Kugelman,2,85.0,85,85,0.0,0.0
Matt Palmer,1,101.0,101,101,,
Matt Piedmont,1,84.0,84,84,,
Matt Reeves,1,85.0,85,85,,
Matt Ross,1,119.0,119,119,,
Matt Shakman,1,93.0,93,93,,
Matt Thompson,1,98.0,98,98,,
Matt Toronto,1,89.0,89,89,,
Matthew Atkinson,1,89.0,89,89,,
Matthew Cooke,1,103.0,103,103,,
Matthew Heineman,1,110.0,110,110,,
Matthew Hope,1,100.0,100,100,,
Matthew Michael Carnahan,1,103.0,103,103,,
Matthew Ross,1,87.0,87,87,,
Matthew Vaughn,2,116.5,105,128,16.263455967290593,264.5
Matthias Hoene,1,105.0,105,105,,
Matías Bize,1,88.0,88,88,,
Matías Gueilburt,2,104.5,90,119,20.506096654409877,420.5
Mauro Scandolari,1,60.0,60,60,,
Max Amini,1,66.0,66,66,,
Max Jabs,1,89.0,89,89,,
Max Joseph,1,96.0,96,96,,
Max Martini,1,125.0,125,125,,
Max McGill,1,82.0,82,82,,
Maximilian Erlenwein,1,91.0,91,91,,
Maxwell McGuire,1,87.0,87,87,,
Maya Forbes,1,94.0,94,94,,
Maïa Sandoz,1,88.0,88,88,,
Maïmouna Doucouré,1,96.0,96,96,,
Maïwenn,1,91.0,91,91,,
McG,7,103.14285714285714,85,117,10.915257997081751,119.14285714285712
Megha Ramaswamy,1,92.0,92,92,,
Meghan O'Hara,1,93.0,93,93,,
Mehmet Ada Öztekin,1,132.0,132,132,,
Mel Smith,1,89.0,89,89,,
Mel Stuart,1,100.0,100,100,,
Melanie Mayron,1,98.0,98,98,,
Meltem Bozoflu,2,100.5,100,101,0.7071067811865476,0.5
Meng Hua Ho,1,101.0,101,101,,
Merawi Gerima,1,90.0,90,90,,
Mez Tharatorn,2,119.0,116,122,4.242640687119285,18.0
Mic Rodgers,1,83.0,83,83,,
Michael A. Nickles,1,92.0,92,92,,
Michael Anderson,1,118.0,118,118,,
Michael Apted,1,128.0,128,128,,
Michael Barnett,1,98.0,98,98,,
Michael Barrett,1,78.0,78,78,,
Michael Bay,3,131.66666666666666,119,147,14.189197769195179,201.33333333333343
Michael Blieden,1,61.0,61,61,,
Michael Bonfiglio,1,62.0,62,62,,
Michael Buster,1,92.0,92,92,,
Michael Carney,1,120.0,120,120,,
Michael Civille,1,88.0,88,88,,
Michael Cristofer,1,90.0,90,90,,
Michael Cuesta,2,112.0,112,112,0.0,0.0
Michael Curtiz,1,120.0,120,120,,
Michael D. Black,2,23.5,22,25,2.1213203435596424,4.5
Michael Damian,2,97.5,91,104,9.192388155425117,84.5
Michael Del Monte,1,79.0,79,79,,
Michael Doneger,1,90.0,90,90,,
Michael Dowse,3,92.33333333333333,88,97,4.509249752822896,20.33333333333335
Michael Drumm,2,76.5,72,81,6.363961030678928,40.5
Michael Duggan,1,103.0,103,103,,
Michael Epstein,1,90.0,90,90,,
Michael Feifer,1,87.0,87,87,,
Michael Fimognari,2,109.0,102,116,9.899494936611665,98.0
Michael G. Kehoe,1,94.0,94,94,,
Michael Gallagher,1,87.0,87,87,,
Michael J. Bassett,2,105.0,104,106,1.4142135623730951,2.0
Michael Jai White,1,104.0,104,104,,
Michael James Regan,1,73.0,73,73,,
Michael John Warren,1,102.0,102,102,,
Michael Kampa,1,87.0,87,87,,
Michael Kennedy,1,105.0,105,105,,
Michael Larnell,1,100.0,100,100,,
Michael Lennox,1,92.0,92,92,,
Michael M. Scott,1,97.0,97,97,,
Michael Martin,1,93.0,93,93,,
Michael Mason,1,106.0,106,106,,
Michael McKay,3,59.333333333333336,55,62,3.785938897200182,14.333333333333329
Michael Patrick King,2,145.5,145,146,0.7071067811865476,0.5
Michael Paul Stephenson,1,71.0,71,71,,
Michael Petroni,1,90.0,90,90,,
Michael Polish,1,93.0,93,93,,
Michael Pressman,1,88.0,88,88,,
Michael Radford,1,115.0,115,115,,
Michael Ritchie,1,94.0,94,94,,
Michael Roberts,1,89.0,89,89,,
Michael Rymer,1,97.0,97,97,,
Michael Seater,1,94.0,94,94,,
Michael Showalter,2,73.0,59,87,19.79898987322333,392.0
Michael Simon,4,71.25,58,85,11.026483271348726,121.5833333333333
Michael Steiner,1,94.0,94,94,,
Michael Thelin,1,82.0,82,82,,
Michael Tiddes,4,92.25,86,100,7.32006375199925,53.583333333333336
Michael Whitton,1,79.0,79,79,,
Michael Winnick,1,91.0,91,91,,
Michael Winterbottom,2,102.5,97,108,7.7781745930520225,60.5
Michał Tylka,1,33.0,33,33,,
Michel Gondry,1,119.0,119,119,,
Michel Hazanavicius,1,101.0,101,101,,
Michelle Bello,1,94.0,94,94,,
Michelle Esrick,1,97.0,97,97,,
Michelle Johnston,1,86.0,86,86,,
Michelle MacLaren,1,93.0,93,93,,
Michèle Ohayon,1,94.0,94,94,,
Mickey Fonseca,1,102.0,102,102,,
Mickey Liddell,1,85.0,85,85,,
Midhun Manuel Thomas,1,150.0,150,150,,
Miguel Arteta,2,92.0,90,94,2.8284271247461903,8.0
Miguel Ángel Lamata,1,92.0,92,92,,
Miguel Ángel Vivas,1,103.0,103,103,,
Mijke de Jong,1,99.0,99,99,,
Mikael Håfström,1,116.0,116,116,,
Mike Binder,2,94.0,67,121,38.18376618407357,1458.0
Mike Birbiglia,1,92.0,92,92,,
Mike Clattenburg,5,64.2,31,102,32.04215972745907,1026.7
Mike Disa,1,86.0,86,86,,
Mike Doyle,1,92.0,92,92,,
Mike Elliott,1,96.0,96,96,,
Mike Flanagan,3,94.0,82,103,10.816653826391969,117.0
Mike Fleiss,1,84.0,84,84,,
Mike Gunther,4,97.75,85,104,8.770214744615247,76.91666666666667
Mike Hodges,1,95.0,95,95,,
Mike Judge,1,81.0,81,81,,
Mike Mills,1,119.0,119,119,,
Mike Newell,4,122.0,118,127,4.242640687119285,18.0
Mike Nicoll,1,81.0,81,81,,
Mike Rohl,1,97.0,97,97,,
Mike Rossiter,1,49.0,49,49,,
Mike Wiluan,1,103.0,103,103,,
Mikhail Red,3,103.0,94,115,10.816653826391969,117.0
Mikhil Musale,2,134.0,128,140,8.48528137423857,72.0
Milan Luthria,5,132.8,109,145,14.184498581197715,201.2
Milind Dhaimade,1,125.0,125,125,,
Milind Rau,1,135.0,135,135,,
Milton Horowitz,1,61.0,61,61,,
Mimi Leder,1,124.0,124,124,,
Mina Shum,1,94.0,94,94,,
Mir-Jean Bou Chaaya,1,109.0,109,109,,
Miranda de Pencier,1,106.0,106,106,,
Mitch Gould,1,94.0,94,94,,
Mitch Schauer,2,74.5,74,75,0.7071067811865476,0.5
Mohamed Diab,1,98.0,98,98,,
Mohamed Hamdy,2,97.0,95,99,2.8284271247461903,8.0
Mohamed Khan,1,86.0,86,86,,
Mohamed Samy,3,98.66666666666667,97,100,1.5275252316519452,2.3333333333333286
Mohamed Yassin,1,110.0,110,110,,
Mohammad Adel,1,97.0,97,97,,
Mohammad Irfan Ramly,1,94.0,94,94,,
Mohammed Alhmly,1,97.0,97,97,,
Mohammed Hussain,1,132.0,132,132,,
Mohd Khairul Azri Bin Md Noor,1,95.0,95,95,,
Mohit Suri,2,130.0,129,131,1.4142135623730951,2.0
Mohsin Ali,1,118.0,118,118,,
Monica Floyd,1,64.0,64,64,,
Monika Mitchell,1,93.0,93,93,,
Monique Gardenberg,1,111.0,111,111,,
Monty Tiwa,1,119.0,119,119,,
Morgan Ingari,1,102.0,102,102,,
Morgan Neville,3,90.33333333333333,82,98,8.020806277010644,64.33333333333334
Morgan Spurlock,1,92.0,92,92,,
Moses Inwang,3,106.66666666666667,98,115,8.504900548115382,72.33333333333333
Mostofa Sarwar Farooki,1,104.0,104,104,,
Mozez Singh,1,111.0,111,111,,
Mrighdeep Singh Lamba,1,135.0,135,135,,
Mu Chu,1,81.0,81,81,,
Muh Chen,1,120.0,120,120,,
Muhammad Ali,1,96.0,96,96,,
Muharrem Gülmez,1,97.0,97,97,,
Mukesh Vohra,1,133.0,133,133,,
Mukul Anand,2,173.5,173,174,0.7071067811865476,0.5
Munish Bhardwaj,1,109.0,109,109,,
Murat Kepez,1,105.0,105,105,,
Musthafa,1,112.0,112,112,,
Myriam Aziza,1,95.0,95,95,,
Myriam Fares,1,72.0,72,72,,
Mysskin,2,146.5,143,150,4.949747468305833,24.5
Müfit Can Saçıntı,1,101.0,101,101,,
N. Chandra,1,137.0,137,137,,
N. Linguswamy,2,151.0,146,156,7.0710678118654755,50.0
N.D. Wilson,1,87.0,87,87,,
Na Hyeon,1,125.0,125,125,,
Nabil Ayouch,1,104.0,104,104,,
Nacho G. Velilla,1,107.0,107,107,,
Nadia Hallgren,1,89.0,89,89,,
Nagesh Kukunoor,4,114.5,102,127,10.21436896402971,104.33333333333337
Nagraj Manjule,2,137.5,102,173,50.204581464244875,2520.5
Najwa Najjar,1,103.0,103,103,,
Nam Ron,1,81.0,81,81,,
Naman Nitin Mukesh,1,135.0,135,135,,
Nancy Meyers,1,128.0,128,128,,
Nandita Das,1,114.0,114,114,,
Naoko Yamada,2,120.0,110,130,14.142135623730951,200.0
Narendra Nath,1,136.0,136,136,,
Naresh Saigal,1,143.0,143,143,,
Naseef Yusuf Izuddin,1,91.0,91,91,,
Natalia Garagiola,1,108.0,108,108,,
Natalia Valdebenito,1,76.0,76,76,,
Natalie Portman,1,98.0,98,98,,
Natasha Lyonne,1,50.0,50,50,,
Nathan Morlando,1,105.0,105,105,,
Nathan Wiley,1,33.0,33,33,,
Nathaniel Warsh,1,91.0,91,91,,
Nattawut Poonpiriya,1,130.0,130,130,,
Navaniat Singh,2,128.5,122,135,9.192388155425117,84.5
Navdeep Singh,1,129.0,129,129,,
Navinder Pal Singh,1,139.0,139,139,,
Navjot Gulati,1,101.0,101,101,,
Navneet Behal,1,111.0,111,111,,
Nawapol Thamrongrattanarit,1,113.0,113,113,,
Naya Anindita,1,102.0,102,102,,
Neal Brennan,3,72.0,61,89,14.933184523068078,223.0
Neeraj Pandey,3,132.66666666666666,103,158,27.754879450888147,770.3333333333331
Neeraj Udhwani,1,112.0,112,112,,
Neeraj Vora,1,150.0,150,150,,
Neil Armfield,1,128.0,128,128,,
Neil Jordan,2,117.0,112,122,7.0710678118654755,50.0
Neil LaBute,1,93.0,93,93,,
Neil Triffett,1,94.0,94,94,,
Neill Blomkamp,2,116.5,112,121,6.363961030678928,40.5
Nelson McCormick,2,95.0,88,102,9.899494936611665,98.0
Neville Shah,1,72.0,72,72,,
Nguyen Thanh Tung,1,93.0,93,93,,
Nia Dinata,2,118.5,113,124,7.7781745930520225,60.5
Niall Johnson,1,98.0,98,98,,
Nic Mathieu,1,108.0,108,108,,
Nicanor Loreti,1,82.0,82,82,,
Nicholas Hytner,1,116.0,116,116,,
Nicholas Kharkongor,2,95.0,89,101,8.48528137423857,72.0
Nicholas Ray,1,111.0,111,111,,
Nicholas Stoller,1,109.0,109,109,,
Nicholas Winter,1,92.0,92,92,,
Nicholas Zeig-Owens,1,91.0,91,91,,
Nicholaus Goossen,1,64.0,64,64,,
Nick Broomfield,2,101.5,95,108,9.192388155425117,84.5
Nick Cassavetes,1,109.0,109,109,,
Nick Castle,2,96.5,96,97,0.7071067811865476,0.5
Nick Davis,1,55.0,55,55,,
Nick Gomez,1,87.0,87,87,,
Nick Mead,1,88.0,88,88,,
Nick Moore,1,98.0,98,98,,
Nick Rowland,1,101.0,101,101,,
Nick Simon,1,88.0,88,88,,
Nicol Paone,1,95.0,95,95,,
Nicolas Brossette,1,97.0,97,97,,
Nicolas Pesce,2,78.5,76,81,3.5355339059327378,12.5
Nicolas Winding Refn,1,90.0,90,90,,
Nicole Conn,1,110.0,110,110,,
Nicole Holofcener,1,98.0,98,98,,
Nicolás López,2,102.5,89,116,19.091883092036785,364.5
Nidhi Sharma,1,122.0,122,122,,
Niels Arden Oplev,1,118.0,118,118,,
Nikhil Advani,2,136.0,132,140,5.656854249492381,32.0
Nikhil Nagesh Bhat,1,100.0,100,100,,
Nikhil Pherwani,1,81.0,81,81,,
Niki Caro,1,127.0,127,127,,
Nikkhil Advani,1,187.0,187,187,,
Nila Madhab Panda,3,97.33333333333333,87,111,12.34233905438241,152.33333333333331
Nima Nourizadeh,1,96.0,96,96,,
Nimród Antal,1,93.0,93,93,,
Nirpal Bhogal,1,90.0,90,90,,
Nisheeta Keni,1,161.0,161,161,,
Nishikant Kamat,4,137.5,119,162,17.897858344878394,320.3333333333332
Nishil Sheth,1,74.0,74,74,,
Nitesh Tiwari,1,161.0,161,161,,
Niyi Akinmolayan,5,95.4,75,105,11.760102040373628,138.29999999999998
Noah Baumbach,6,101.83333333333333,81,137,20.458901892982105,418.5666666666667
Noam Murro,1,95.0,95,95,,
Nonzee Nimibutr,1,101.0,101,101,,
Noor Imran Mithu,1,95.0,95,95,,
Nora Ephron,1,123.0,123,123,,
Nora Fingscheidt,1,120.0,120,120,,
Nora Twomey,1,93.0,93,93,,
Norberto López Amado,1,117.0,117,117,,
Norihisa Hiranuma,1,102.0,102,102,,
Noriyuki Abe,3,96.0,94,100,3.4641016151377544,12.0
Norman Jewison,2,142.0,103,181,55.154328932550705,3042.0
Note Chern-Yim,3,95.33333333333333,92,102,5.773502691896256,33.33333333333332
Nottapon Boonprakob,1,89.0,89,89,,
Noushad,1,126.0,126,126,,
Noviandra Santosa,1,90.0,90,90,,
Noé González,1,123.0,123,123,,
Noël Wells,1,91.0,91,91,,
Nuel Naval,1,127.0,127,127,,
Numa Perrier,1,86.0,86,86,,
Nzingha Stewart,1,103.0,103,103,,
Néstor Sánchez Sotelo,1,78.0,78,78,,
Obi Emelonye,2,81.0,76,86,7.0710678118654755,50.0
Oded Raz,1,106.0,106,106,,
Ofir Raul Graizer,1,109.0,109,109,,
Okey Oku,1,121.0,121,121,,
Olaf de Fleur,1,89.0,89,89,,
Ole Bornedal,1,104.0,104,104,,
Oliver Blackburn,1,85.0,85,85,,
Oliver Bokelberg,1,81.0,81,81,,
Oliver Daly,1,99.0,99,99,,
Oliver Frampton,1,89.0,89,89,,
Oliver Kienle,1,113.0,113,113,,
Oliver Schmitz,1,106.0,106,106,,
Oliver Stone,4,128.5,120,134,6.027713773341711,36.33333333333337
Oliver Twinch,2,53.0,52,54,1.4142135623730951,2.0
Olivia M. Lamasan,3,130.66666666666666,128,132,2.309401076758505,5.333333333333343
Olivia Milch,1,97.0,97,97,,
Olivia Newman,1,103.0,103,103,,
Olivier Abbou,1,98.0,98,98,,
Olivier Afonso,1,77.0,77,77,,
Olivier Assayas,3,119.0,105,128,12.288205727444508,151.0
Olivier Loustau,1,98.0,98,98,,
Olivier Marchal,2,110.0,104,116,8.48528137423857,72.0
Olivier Megaton,1,149.0,149,149,,
Oluseyi Asurf,2,105.0,93,117,16.97056274847714,288.0
Omoni Oboli,5,100.2,92,113,10.80277742064512,116.7
Omung Kumar,1,120.0,120,120,,
One9,1,75.0,75,75,,
Onir,3,110.66666666666667,106,116,5.0332229568471645,25.333333333333314
Onur Bilgetay,1,110.0,110,110,,
Onur Tukel,1,96.0,96,96,,
Oren Peli,1,86.0,86,86,,
Oren Uziel,1,87.0,87,87,,
Oriol Paulo,1,129.0,129,129,,
Orson Welles,1,122.0,122,122,,
Osgood Perkins,2,92.0,89,95,4.242640687119285,18.0
Oskar Santos,1,105.0,105,105,,
Osman Ali,1,93.0,93,93,,
Otoja Abit,1,90.0,90,90,,
Owen Egerton,1,88.0,88,88,,
Owen Trevor,1,103.0,103,103,,
Oz Rodriguez,2,73.5,61,86,17.67766952966369,312.5
Ozan Açıktan,6,105.0,90,127,12.296340919151518,151.2
P.K. Baaburaaj,1,130.0,130,130,,
P.T. Kunju Muhammad,1,125.0,125,125,,
Pa. Ranjith,1,148.0,148,148,,
Paakhi Tyrewala,1,82.0,82,82,,
Pablo Agüero,1,92.0,92,92,,
Pablo D'Alo Abba,1,80.0,80,80,,
Pablo Faro,1,70.0,70,70,,
Pablo Giorgelli,1,87.0,87,87,,
Pablo Larraín,3,105.66666666666667,97,112,7.767453465154029,60.33333333333333
Pablo Parés,1,115.0,115,115,,
Paco Aguilar,1,81.0,81,81,,
Paco Arango,1,108.0,108,108,,
Paco Cabezas,1,96.0,96,96,,
Paco Plaza,2,106.5,105,108,2.1213203435596424,4.5
Padmakumar Narasimhamurthy,1,104.0,104,104,,
Padraig Reynolds,1,90.0,90,90,,
Page Hurwitz,1,59.0,59,59,,
Pamela Romanowsky,1,87.0,87,87,,
Pan Nalin,1,104.0,104,104,,
Pang Ho-cheung,3,108.66666666666667,103,120,9.81495457622364,96.33333333333336
Pankaj Batra,3,122.66666666666667,120,127,3.7859388972001833,14.33333333333334
Param Gill,1,120.0,120,120,,
Parambrata Chatterjee,2,143.0,131,155,16.97056274847714,288.0
Paresh Mokashi,1,99.0,99,99,,
Paritosh Painter,1,114.0,114,114,,
Park Hoon-jung,2,129.0,126,132,4.242640687119285,18.0
Park In-je,1,130.0,130,130,,
Partha Chakraborty,1,110.0,110,110,,
Parthiban,1,103.0,103,103,,
Partho Ghosh,1,161.0,161,161,,
Partho Mitra,1,135.0,135,135,,
Partho Sen-Gupta,1,85.0,85,85,,
Parveen Kumar,1,121.0,121,121,,
Pat Healy,1,84.0,84,84,,
